"","initial","final"
"717","auto dealers, investments","Diversified"
"718","textiles, apparel","Industrial"
"719","videogames","Services"
"720","mobile games","Services"
"721","appliance retailer","Retail"
"722","sporting goods retail","Retail"
"723","Snapchat","Consumer"
"724","Marvel comics","Entertainment"
"725","frozen foods","Food & Beverage"
"726","energy drinks","Food & Beverage"
"727","pharmaceuticals, medical equipment","Health Care"
"728","staffing, Baltimore Ravens","Entertainment"
"729","coffee makers","Consumer"
"730","online video","Media & Telecom"
"731","cleaning products","Health Care"
"732","pet food","Food & Beverage"
"733","utilities, telecom","Media & Telecom"
"734","Koch Industries","Industrial"
"735","Oyster sauce, real estate","Diversified"
"736","security software","Technology"
"737","video surveillance","Technology"
"738","investments, retail","Diversified"
"739","soy sauce maker","Food & Beverage"
"740","food and beverage","Food & Beverage"
"741","furniture","Industrial"
"742","semiconductors","Technology"
"743","motors","Industrial"
"744","after-school tutoring","Services"
"745","Yahoo","Technology"
"746","banking, minerals","Diversified"
"747","surveillance equipment","Technology"
"748","hospitals","Real Estate"
"749","agriculture","Industrial"
"750","cryptocurrency","Technology"
"751","airlines","Services"
"752","IT, telecom","Technology"
"753","hotels","Real Estate"
"754","grocery stores","Retail"
"755","home furnishings","Consumer"
